User-ID,ISBN,Book-Rating
277157,0312979517,5.0
277157,0345452550,7.0
277157,0399146504,7.0
277157,0399151451,7.0
277157,0425183181,5.0
277157,0671024094,7.0
277157,074320607X,7.0
277427,002542730X,10.0
277427,0060542128,7.0
277427,0061009059,9.0
277427,0316776963,8.0
277427,0345413903,10.0
277427,0375751513,9.0
277427,0380702843,8.0
277427,0380791978,9.0
277427,0385486804,9.0
277427,0385503857,9.0
277427,0385504209,8.0
277427,0399501487,9.0
277427,0425104338,9.0
277427,0425116840,8.0
277427,0425133516,9.0
277427,0440185327,5.0
277427,0440236061,8.0
277427,0440236738,9.0
277427,0440428130,8.0
277427,0441627404,10.0
277427,0446608890,10.0
277427,0451191153,8.0
277427,0451203593,10.0
277427,0452284449,6.0
277427,0553280368,9.0
277427,0553571656,10.0
277427,0553581929,9.0
277427,0671528904,8.0
277427,0671876821,8.0
277427,0679731148,9.0
277427,0679736042,5.0
277427,0740723367,9.0
277427,0743406176,8.0
277427,0743412028,9.0
277427,0743444477,9.0
277427,0743457943,8.0
277427,0767903382,10.0
277427,0786866845,10.0
277427,0811802981,10.0
277427,0811811409,10.0
277427,0836210263,10.0
277427,0836217691,10.0
277427,0836218515,10.0
277427,0836218817,10.0
277427,0836221192,10.0
277427,0836221311,8.0
277427,0836236688,10.0
277427,0890876517,10.0
277427,0898157803,10.0
277523,0312289723,10.0
277523,0316603570,10.0
277523,0316693200,10.0
277523,0345452577,10.0
277523,0385508042,10.0
277523,0385510438,10.0
277523,039915180X,10.0
277523,0446530891,10.0
277523,0515133302,10.0
277523,0553803409,10.0
277523,0671886665,10.0
277523,0684835983,10.0
277523,0743206045,10.0
277523,1558744150,10.0
277639,034539657X,8.0
277639,0380731851,6.0
277639,0425142485,7.0
277639,0425147363,8.0
277639,0440211727,8.0
277639,0440214041,9.0
277639,0553579754,7.0
277639,0812543262,8.0
277744,0061031550,8.0
277744,0312421273,7.0
277744,0345339681,3.0
277744,0887307876,9.0
277744,0929634063,10.0
277744,1551660717,8.0
277937,0060934417,9.0
277937,0316168815,7.0
277937,0452283205,7.0
277937,0452283868,6.0
277937,0743225325,6.0
277937,0743237188,7.0
277945,0312974256,6.0
277945,0312983301,6.0
277945,0446610550,7.0
277945,0515121843,7.0
277945,051512317X,7.0
277945,0515124214,7.0
277945,0515134384,7.0
277945,0515136263,7.0
277945,0515136379,7.0
277945,0515136530,7.0
277945,0515137111,8.0
277965,0316789089,5.0
